iter	RMSE
195	7.556604623
196	7.556285348
197	7.555929485
198	7.555639479
199	7.555365492
200	7.555076003
201	7.554746678
202	7.55446442
203	7.554166772
204	7.553881129
205	7.55342192
206	7.553145886
207	7.552868698
208	7.552562801
209	7.55226136
210	7.551998338
211	7.551729421
212	7.551392188
213	7.551031664
214	7.550649788
215	7.550395848
216	7.550137812
217	7.549894934
218	7.549556265
219	7.549330105
220	7.549036852
221	7.54879033
222	7.54854271
223	7.548324807
224	7.548046707
225	7.547740954
226	7.547267961
227	7.547045007
228	7.546761076
229	7.546495035
230	7.546259091
231	7.546032124
232	7.545675246
233	7.545479278
234	7.545265042
235	7.545029396
236	7.544767007
237	7.544446756
238	7.544216958
239	7.544002014
240	7.543646351
241	7.543377227
242	7.543153677
243	7.542751381
244	7.542514752
245	7.542323197
246	7.542090846
247	7.541887469
248	7.541615481
249	7.541364953
250	7.541132801
251	7.540865449
252	7.54063108
253	7.540290725
254	7.540043272
255	7.53985597
256	7.539686362
257	7.539502884
258	7.539328562
259	7.539088073
260	7.538874024
261	7.538539122
262	7.538373359
263	7.538204691
264	7.538033382
265	7.537676965
266	7.537342505
267	7.537152717
268	7.536850322
269	7.536685628
270	7.536499379
271	7.536313597
272	7.536158811
273	7.535917333
274	7.535747017
275	7.535470979
276	7.535322433
277	7.535213109
278	7.535060569
279	7.534822619
280	7.534691201
281	7.534513542
282	7.534249579
283	7.534007948
284	7.533797809
285	7.533601488
286	7.533328015
287	7.533184974
288	7.532877967
289	7.532717622
290	7.532569628
291	7.532424815
292	7.532177502
293	7.532060119
294	7.531983999
295	7.531699456
296	7.531436435
297	7.531305151
298	7.531152423
299	7.531018413
300	7.530861237
301	7.530621562
302	7.530489365
303	7.530353479
304	7.530113411
305	7.529849249
306	7.52968269
307	7.529533832
308	7.529465162
309	7.529344728
310	7.529220375
311	7.529088492
312	7.52891042
313	7.528699542
314	7.528462829
315	7.528366942
316	7.528261954
317	7.528100653
318	7.527984988
319	7.527831971
320	7.527628972
321	7.527291997
322	7.52713006
323	7.526940837
324	7.526747264
325	7.526585042
326	7.526477197
327	7.526375878
328	7.526166239
329	7.526105489
330	7.525993306
331	7.525871023
332	7.525647699
333	7.525516064
334	7.525398563
335	7.5252813
336	7.525184489
337	7.525016345
338	7.524960707
339	7.524762024
340	7.524542919
341	7.524474823
342	7.524253529
343	7.521920313
344	7.521724121
345	7.521527825
346	7.521316436
347	7.521160752
348	7.521035166
349	7.520852983
350	7.520741958
351	7.520657221
352	7.520474386
353	7.520362958
354	7.5202006
355	7.520104395
356	7.51997784
357	7.519812142
358	7.519719186
359	7.519630682
360	7.519479972
361	7.519365836
362	7.519193568
363	7.519115827
364	7.519043774
365	7.518910567
366	7.518695166
367	7.518626015
368	7.518352571
369	7.518268061
370	7.516279999
371	7.516134804
372	7.516029348
373	7.515888349
374	7.515801243
375	7.515698034
376	7.515487068
377	7.515443243
378	7.51538553
379	7.515242226
380	7.515168981
381	7.515081131
382	7.514922751
383	7.514800626
384	7.514752729
385	7.514630138
386	7.514473924
387	7.514426389
388	7.514187799
389	7.514063894
390	7.513934835
391	7.513726331
392	7.51362498
393	7.513541613
394	7.513467355
395	7.513326399
396	7.513216263
397	7.513141368
398	7.513035986
399	7.512967646
400	7.512852624
401	7.512688538
402	7.512634503
403	7.512536065
404	7.512401996
405	7.512342462
406	7.512289522
407	7.512245085
408	7.512160641
409	7.512054358
410	7.512013102
411	7.511913568
412	7.511680528
413	7.510046299
414	7.510008171
415	7.509779959
416	7.509748994
417	7.509665846
418	7.509564816
419	7.509439341
420	7.509331778
421	7.509249698
422	7.509135836
423	7.509041109
424	7.508899411
425	7.508801284
426	7.508728688
427	7.508639905
428	7.508418043
429	7.508307592
430	7.508253899
431	7.506910883
432	7.506855011
433	7.506764067
434	7.506732888
435	7.506670105
436	7.506579755
437	7.506502652
438	7.506423983
439	7.50633081
440	7.506217127
441	7.506168965
442	7.505994549
443	7.505957137
444	7.505882636
445	7.50577495
446	7.505659123
447	7.505622478
448	7.505562822
449	7.505476236
450	7.505378171
451	7.505290553
452	7.505219606
453	7.503911625
454	7.50368065
455	7.503600623
456	7.503532593
457	7.503499823
458	7.503363979
459	7.503307459
460	7.503230728
461	7.503145087
462	7.501944346
463	7.501764783
464	7.501674374
465	7.501577191
466	7.501439949
467	7.501360517
468	7.501223466
469	7.500175178
470	7.50014267
471	7.50009205
472	7.499992821
473	7.499919992
474	7.499847957
475	7.499759478
476	7.499725542
477	7.499681977
478	7.499570158
479	7.499497845
480	7.499449702
481	7.499425086
482	7.499363904
483	7.499336632
484	7.499258206
485	7.499241334
486	7.499096354
487	7.498941777
488	7.497934694
489	7.497887391
490	7.497838696
491	7.497757722
492	7.497698375
493	7.497632096
494	7.497532536
495	7.497480921
496	7.497415424
497	7.496431522
498	7.496224282
499	7.496137929
500	7.496101077
501	7.495941551
502	7.495895724
503	7.49576997
504	7.495706049
505	7.494784383
506	7.49473695
507	7.494693545
508	7.494678545
509	7.494597307
510	7.494518911
511	7.494463536
512	7.494313799
513	7.494291062
514	7.494223569
515	7.494161509
516	7.494115588
517	7.494070186
518	7.49404894
519	7.493238785
520	7.493169131
521	7.493103455
522	7.493063429
523	7.493033884
524	7.492177216
525	7.492154131
526	7.492008161
527	7.491956044
528	7.491836867
529	7.491764046
530	7.491740577
531	7.491703685
532	7.491655647
533	7.491593137
534	7.491462498
535	7.491410094
536	7.491238132
537	7.490981636
538	7.490891807
539	7.490635083
540	7.490457326
541	7.490397451
542	7.490223188
543	7.49012116
544	7.489320007
545	7.489192135
546	7.488999894
547	7.488904425
548	7.488849512
549	7.48881311
550	7.488615964
551	7.487888284
552	7.487861505
553	7.487814933
554	7.487746966
555	7.487700678
556	7.486999479
557	7.486313533
558	7.486196241
559	7.486176881
560	7.486148362
561	7.486093573
562	7.485986158
563	7.485955596
564	7.485865411
565	7.485810647
566	7.485186576
567	7.484583049
568	7.484545314
569	7.484370891
570	7.484337036
571	7.484290714
572	7.484205633
573	7.484034857
574	7.483941856
575	7.483757468
576	7.483648673
577	7.483631923
578	7.483580436
579	7.48351994
580	7.483503123
581	7.48342379
582	7.483389435
583	7.483225817
584	7.483093958
585	7.483064089
586	7.482918662
587	7.482841805
588	7.482673361
589	7.48259891
590	7.482441328
591	7.482288933
592	7.482252996
593	7.482157075
594	7.481976977
595	7.4819426
596	7.481942472
597	7.481802751
598	7.481774291
599	7.481661795
600	7.481489951
601	7.481454173
602	7.481411707
603	7.481338739
604	7.48125786
605	7.480677662
606	7.480072246
607	7.479874769
608	7.479800786
609	7.479756559
610	7.479583198
611	7.479492667
612	7.479469587
613	7.479433793
614	7.479288067
615	7.479203151
616	7.479099732
617	7.479012194
618	7.478895219
619	7.478738523
620	7.478738494
621	7.47865639
622	7.478043403
623	7.478010669
624	7.477467595
625	7.477372335
626	7.477194876
627	7.477104027
628	7.477011615
629	7.477011396
630	7.476438898
631	7.476381356
632	7.476365204
633	7.476243505
634	7.476206176
635	7.476177959
636	7.476139141
637	7.476139046
638	7.476020065
639	7.475946959
640	7.475863719
641	7.475749651
642	7.475614747
643	7.475439604
644	7.475391218
645	7.475303179
646	7.475214448
647	7.475193289
648	7.475129847
649	7.474620054
650	7.474494604
651	7.474469459
652	7.474469411
653	7.474449528
654	7.474449406
655	7.474401292
656	7.474304791
657	7.474273989
658	7.474151823
659	7.47413283
660	7.474044751
661	7.47402985
662	7.473966995
663	7.473927524
664	7.473857673
665	7.47334817
666	7.473222916
667	7.473106386
668	7.473021691
669	7.472892984
670	7.472726136
671	7.472628096
672	7.472568364
673	7.472525172
674	7.472476385
675	7.472377415
676	7.472279557
677	7.472279511
678	7.472279396
679	7.472181585
680	7.472181548
681	7.47214536
682	7.472114373
683	7.471992013
684	7.471965694
685	7.471875656
686	7.471799255
687	7.471689292
688	7.471087465
689	7.470441623
690	7.470293246
691	7.470245995
692	7.470178593
693	7.47007177
694	7.469912281
695	7.469814552
696	7.469661331
697	7.469594776
698	7.469463688
699	7.469382483
700	7.468843648
701	7.468801316
702	7.468716635
703	7.468716542
704	7.468664521
705	7.468664486
706	7.468556635
707	7.468506068
708	7.468377611
709	7.468319745
710	7.46825167
711	7.468157304
712	7.468157266
713	7.468157223
714	7.468020402
715	7.468003583
716	7.467903089
717	7.467884224
718	7.467830724
719	7.467701218
720	7.467592367
721	7.467529153
722	7.467450732
723	7.467424048
724	7.467389551
725	7.467389469
726	7.467298127
727	7.467219593
728	7.467178297
729	7.467128346
730	7.467059497
731	7.466984556
732	7.466928806
733	7.466867725
734	7.466806526
735	7.466760478
736	7.466760414
737	7.466678016
738	7.466678001
739	7.46665852
740	7.466573263
741	7.466556828
742	7.466556766
743	7.466467463
744	7.466388593
745	7.466279983
746	7.466188926
747	7.466137466
748	7.465721568
749	7.465721552
750	7.465683619
751	7.465618846
752	7.465618829
753	7.465499644
754	7.465442649
755	7.465442621
756	7.465383894
757	7.465383854
758	7.465303568
759	7.465303508
760	7.465258179
761	7.465215646
762	7.465215614
763	7.465215604
764	7.465138989
765	7.465138967
766	7.465138886
767	7.465081682
768	7.465000054
769	7.465000038
770	7.465000025
771	7.464942653
772	7.464909837
773	7.464909764
774	7.464909753
775	7.464815811
776	7.464815771
777	7.464758321
778	7.464734673
779	7.464734622
780	7.464734606
781	7.464685967
782	7.464685903
783	7.464574285
784	7.464560503
785	7.464484121
786	7.464441878
787	7.464441837
788	7.464373642
789	7.464302918
790	7.463874485
791	7.463874464
792	7.463874447
793	7.463806361
794	7.463747819
795	7.463747793
796	7.463642448
797	7.463556262
798	7.463482858
799	7.463380117
800	7.463305315
801	7.463214992
802	7.463124064
803	7.463062328
804	7.462996757
805	7.462996741
806	7.462937676
807	7.462844683
808	7.462844661
809	7.462844652
810	7.462758362
811	7.462758316
812	7.462758294
813	7.462619075
814	7.462525262
815	7.46247193
816	7.462403876
817	7.462403854
818	7.462403837
819	7.461989644
820	7.461930118
821	7.461819682
822	7.461819643
823	7.461819598
824	7.461819563
825	7.4617374
826	7.461737382
827	7.461737357
828	7.461737322
829	7.4617373
830	7.461678556
831	7.461598765
832	7.461548819
833	7.461467153
834	7.46146713
835	7.46138996
836	7.461389955
837	7.461389937
838	7.461389928
839	7.461351926
840	7.461322081
841	7.461322072
842	7.461322042
843	7.461322023
844	7.461322007
845	7.460777269
846	7.460725266
847	7.460659581
848	7.460582585
849	7.460475589
850	7.46041802
851	7.460418008
852	7.460323418
853	7.460323387
854	7.460323383
855	7.460257203
856	7.460257191
857	7.460257178
858	7.460257162
859	7.460179319
860	7.460179291
861	7.460164264
862	7.460164255
863	7.460086621
864	7.460041305
865	7.459970352
866	7.459970342
867	7.459528696
868	7.459528687
869	7.459463108
870	7.459463098
871	7.45946308
872	7.459463067
873	7.459447003
874	7.459446994
875	7.458972463
876	7.458972459
877	7.458972452
878	7.458904354
879	7.458904326
880	7.458865363
881	7.458865355
882	7.458865347
883	7.458865336
884	7.458828979
885	7.458741148
886	7.458720227
887	7.458661216
888	7.458630631
889	7.458630614
890	7.458630606
891	7.458630594
892	7.458593488
893	7.458593475
894	7.45859347
895	7.458593464
896	7.458510568
897	7.45851056
898	7.458498777
899	7.458439104
900	7.458439103
901	7.458398908
902	7.4583989
903	7.458398898
904	7.45839889
905	7.458347601
906	7.458347592
907	7.458347591
908	7.458293396
909	7.458293392
910	7.458293391
911	7.458218826
912	7.458218815
913	7.458161118
914	7.458155805
915	7.458155802
916	7.457791203
917	7.457732311
918	7.457732296
919	7.457651708
920	7.457651703
921	7.457651688
922	7.457651681
923	7.457651663
924	7.457584832
925	7.457528842
926	7.457453661
927	7.457415133
928	7.457415131
929	7.457385188
930	7.457385179
931	7.457385177
932	7.457353196
933	7.45730409
934	7.457247272
935	7.45724726
936	7.457247252
937	7.457247246
938	7.457162096
939	7.457112587
940	7.457112575
941	7.457112572
942	7.457035309
943	7.457035302
944	7.457012202
945	7.457012176
946	7.456965934
947	7.456965921
948	7.456885186
949	7.456802743
950	7.456802722
951	7.456741029
952	7.456741021
953	7.456691846
954	7.45669184
955	7.45662176
956	7.456621757
957	7.456543005
958	7.456502095
959	7.456463586
960	7.456405932
961	7.456405922
962	7.456405919
963	7.456353378
964	7.456353372
965	7.456332387
966	7.456276193
967	7.45623829
968	7.456238276
969	7.456238271
970	7.456238264
971	7.456238259
972	7.456166526
973	7.456166517
974	7.456166506
975	7.456166504
976	7.456166497
977	7.456089172
978	7.456089168
979	7.456089159
980	7.456089155
981	7.456089148
982	7.456020079
983	7.456020068
984	7.456003536
985	7.456003531
986	7.455941235
987	7.455941226
988	7.455941221
989	7.455941214
990	7.4559412
991	7.455941194
992	7.455941187
993	7.455941183
994	7.45594118
995	7.455941175
996	7.45594117
997	7.455941168
998	7.455941167
999	7.455941162
