,ID Place,Place,Population,Median Age,Property Value,Household Income,Household Ownership,Percent Business & Tech Jobs,Num Universities,Diversity,Gender Wage Gap,White Wage,Black Wage,Asian Wage,Pacific Islander Wage,Other Wage,Multiracial Wage,American/Alaskan Native Wage,Average Wage,Take Public Transit,Walks or Bikes,Work From Home,Access To Exercise Opportunities,Violent Crime,Voted Democrat 2016,LATITUDE,LONGITUDE
0,16000US0644000,"Los Angeles, CA",3979537,35.9,697200,1398900,0.3515233053493409,0.3763585355335526,628.0,1.8748064408740932,0.7933360692509398,1.0420055675869184,0.7984693048514998,1.2092477811597504,0.8095211922861879,0.5815739223284198,0.904931673259628,0.7437325960332898,64681.9921581421,0.0876267465455025,0.0419571700210928,0.0645250192844253,0.9764529466629028,488.3460998535156,0.7175722154215638,33.973093,-118.247896
1,16000US0666000,"San Diego, CA",1423852,35.4,658400,512530,0.3599601643991089,0.46964783656650166,269.0,1.9598513743198007,0.7933360692509398,1.0420055675869184,0.7984693048514998,1.2092477811597504,0.8095211922861879,0.5815739223284198,0.904931673259628,0.7437325960332898,64681.9921581421,0.0387160274151401,0.0412385825743914,0.0809295362707205,0.9697026014328004,327.7188415527344,0.5629791794243724,32.71852,-117.159316
2,16000US0667000,"San Francisco, CA",881549,38.2,1217500,365851,0.4150092621056799,0.5631367011499298,167.0,1.9708135044652368,0.7933360692509398,1.0420055675869184,0.7984693048514998,1.2092477811597504,0.8095211922861879,0.5815739223284198,0.904931673259628,0.7437325960332898,64681.9921581421,0.3631369030192654,0.1674131500203413,0.0743771173068807,1.0,760.4639892578125,0.8503962621244381,37.775,-122.4183
3,16000US0667000,"San Francisco, CA",881549,38.2,1217500,365851,0.4150092621056799,0.5631367011499298,167.0,1.9708135044652368,0.7933360692509398,1.0420055675869184,0.7984693048514998,1.2092477811597504,0.8095211922861879,0.5815739223284198,0.904931673259628,0.7437325960332898,64681.9921581421,0.3631369030192654,0.1674131500203413,0.0743771173068807,1.0,760.4639892578125,0.8503962621244381,37.621944,-122.381944
4,16000US1714000,"Chicago, IL",2693959,35.2,275200,1080345,0.40102503415976265,0.4092160242157601,570.0,1.9693347602315812,0.7559324219595692,1.0349773692146114,0.710051721856054,1.2300238661161038,1.6773815897824744,0.6153766234350232,0.854417168080808,0.690775167741089,59580.31812206996,0.2836082117312551,0.0811906568353749,0.0618163335960576,0.991459310054779,619.8135986328125,0.7467501152359267,41.885847,-87.618123
5,16000US2507000,"Boston, MA",694295,32.6,627000,271553,0.3911204891292606,0.49397146875998843,257.0,1.9977142220512316,0.7714107540756268,1.0340127364487697,0.6281530231187882,1.1396389562103062,0.9256040060480109,0.5672979007788356,0.7411220651182486,0.8328652821302124,69296.20510690815,0.3198673018882043,0.1923050061110972,0.0409767778304357,0.9987701177597046,751.5321655273438,0.7959778584638905,42.357603,-71.068432
6,16000US3651000,"New York, NY",8336817,37.2,680800,3211033,0.38516294648185273,0.410750499272271,1429.0,2.1124357896007173,0.7873156351629104,1.0670986612237885,0.7324393283204592,1.0885537994556636,0.6525089492058839,0.5864074448052851,0.7886693516124155,0.6178800506457831,68255.70813643356,0.5559816032690972,0.116527424861872,0.0463786674496047,0.9796581268310548,597.7833251953125,0.7535333256603725,40.74838,-73.996705
7,16000US4260000,"Philadelphia, PA",1584064,34.7,183200,619505,0.391085839966062,0.3816729892328008,317.0,1.9319100176638373,0.7620363774071267,1.0198698488746796,0.7171113763228842,1.1879767931862344,1.3109853321006537,0.630918436902981,0.7377898694146947,0.7997644306395734,55064.34883514869,0.2554578890538534,0.1063768164844558,0.0511329126737751,0.9994134902954102,1001.4735107421876,0.8253242155869372,39.864998,-75.275196
8,16000US4260000,"Philadelphia, PA",1584064,34.7,183200,619505,0.391085839966062,0.3816729892328008,317.0,1.9319100176638373,0.7620363774071267,1.0198698488746796,0.7171113763228842,1.1879767931862344,1.3109853321006537,0.630918436902981,0.7377898694146947,0.7997644306395734,55064.34883514869,0.2554578890538534,0.1063768164844558,0.0511329126737751,0.9994134902954102,1001.4735107421876,0.8253242155869372,40.1162,-75.0141
9,16000US4835000,"Houston, TX",2316797,33.4,195800,876504,0.3783257661331571,0.35123142011864555,463.0,1.8831878562260396,0.7302770183201553,1.0304330039684604,0.7870441666028768,1.295922719788115,0.6184946153059798,0.6635353910543371,0.8507314154790971,0.8176822029558611,54169.69713390608,0.0378542232268116,0.0229276927382567,0.0442465965870501,0.9056621193885804,730.3948364257812,0.5395225407587158,29.596156,-95.458709
10,16000US4835000,"Houston, TX",2316797,33.4,195800,876504,0.3783257661331571,0.35123142011864555,463.0,1.8831878562260396,0.7302770183201553,1.0304330039684604,0.7870441666028768,1.295922719788115,0.6184946153059798,0.6635353910543371,0.8507314154790971,0.8176822029558611,54169.69713390608,0.0378542232268116,0.0229276927382567,0.0442465965870501,0.9056621193885804,730.3948364257812,0.5395225407587158,29.7652,-95.3657
11,16000US0103076,"Auburn, AL",66254,25.2,304000,26156,0.39478371117215566,0.5338738235020035,8.0,1.380118891991604,0.6965935571114346,1.0763606654627376,0.7276289750737884,1.2617245408169917,0.8331198239635456,0.6727290068073467,0.777719294196782,0.9280933893013388,47302.33284244442,0.0152966259433483,0.0522860333683034,0.0402382483332769,0.6774904131889343,415.6373901367188,0.3586693923062627,32.602043,-85.489001
