iter	Passed	Remaining
330	2345	4741
331	2352	4732
332	2358	4724
333	2365	4716
334	2372	4710
335	2379	4701
336	2385	4692
337	2391	4683
338	2397	4674
339	2404	4668
340	2411	4659
341	2417	4652
342	2424	4644
343	2431	4636
344	2437	4628
345	2444	4619
346	2451	4612
347	2457	4605
348	2464	4597
349	2471	4589
350	2477	4581
351	2484	4573
352	2491	4566
353	2497	4557
354	2504	4550
355	2511	4543
356	2517	4534
357	2524	4526
358	2531	4519
359	2538	4512
360	2544	4504
361	2551	4497
362	2557	4488
363	2563	4479
364	2570	4472
365	2576	4463
366	2583	4456
367	2590	4448
368	2597	4441
369	2603	4432
370	2609	4424
371	2616	4417
372	2623	4409
373	2629	4401
374	2636	4393
375	2642	4385
376	2648	4377
377	2654	4368
378	2661	4360
379	2667	4352
380	2674	4345
381	2681	4337
382	2687	4329
383	2694	4321
384	2700	4314
385	2707	4306
386	2713	4298
387	2720	4291
388	2727	4283
389	2733	4275
390	2740	4267
391	2755	4274
392	2761	4265
393	2768	4257
394	2775	4250
395	2781	4242
396	2788	4235
397	2795	4227
398	2802	4220
399	2808	4212
400	2814	4204
401	2820	4195
402	2826	4186
403	2832	4178
404	2839	4170
405	2845	4162
406	2851	4154
407	2858	4147
408	2864	4139
409	2871	4132
410	2878	4124
411	2884	4116
412	2890	4108
413	2897	4101
414	2903	4092
415	2910	4085
416	2916	4076
417	2922	4069
418	2929	4061
419	2935	4054
420	2942	4046
421	2949	4040
422	2956	4032
423	2962	4024
424	2969	4017
425	2975	4009
426	2981	4001
427	2988	3994
428	2995	3986
429	3001	3979
430	3007	3970
431	3015	3964
432	3021	3956
433	3028	3948
434	3035	3942
435	3041	3934
436	3048	3927
437	3054	3918
438	3059	3910
439	3066	3903
440	3073	3895
441	3079	3887
442	3086	3880
443	3092	3872
444	3098	3865
445	3105	3857
446	3111	3849
447	3118	3842
448	3124	3834
449	3131	3826
450	3137	3819
451	3144	3812
452	3151	3805
453	3157	3797
454	3164	3791
455	3171	3783
456	3177	3775
457	3183	3767
458	3189	3759
459	3195	3750
460	3201	3743
461	3208	3735
462	3215	3728
463	3221	3721
464	3228	3714
465	3235	3707
466	3242	3700
467	3248	3692
468	3254	3684
469	3261	3677
470	3266	3668
471	3273	3661
472	3280	3654
473	3287	3647
474	3294	3641
475	3301	3633
476	3307	3626
477	3314	3619
478	3321	3612
479	3327	3604
480	3334	3597
481	3341	3590
482	3347	3583
483	3353	3575
484	3361	3569
485	3368	3562
486	3375	3555
487	3382	3548
488	3389	3542
489	3397	3536
490	3404	3529
491	3411	3522
492	3417	3515
493	3424	3508
494	3431	3500
495	3453	3509
496	3460	3502
497	3467	3495
498	3474	3488
499	3481	3481
500	3487	3473
501	3494	3466
502	3501	3459
503	3508	3452
504	3514	3445
505	3522	3438
506	3529	3431
507	3536	3425
508	3543	3418
509	3550	3411
510	3557	3404
511	3564	3397
512	3571	3390
513	3578	3383
514	3585	3377
515	3593	3370
516	3600	3363
517	3607	3356
518	3614	3350
519	3621	3343
520	3629	3336
521	3635	3329
522	3643	3322
523	3649	3315
524	3657	3308
525	3664	3301
526	3671	3295
527	3679	3289
528	3687	3282
529	3694	3275
530	3700	3268
531	3708	3262
532	3715	3255
533	3722	3248
534	3729	3241
535	3736	3234
536	3744	3228
537	3751	3221
538	3758	3214
539	3765	3207
540	3773	3201
541	3780	3194
542	3787	3187
543	3794	3180
544	3801	3173
545	3808	3167
546	3815	3159
547	3822	3152
548	3828	3145
549	3835	3137
550	3841	3130
551	3849	3124
552	3856	3117
553	3862	3109
554	3869	3102
555	3877	3096
556	3884	3089
557	3891	3082
558	3898	3075
559	3905	3068
560	3912	3061
561	3919	3054
562	3925	3047
563	3931	3039
564	3937	3031
565	3945	3025
566	3952	3018
567	3959	3011
568	3966	3004
569	3973	2997
570	3979	2989
571	3986	2982
572	3993	2976
573	4000	2969
574	4008	2963
575	4015	2956
576	4023	2949
577	4030	2942
578	4036	2935
579	4043	2928
580	4050	2921
581	4056	2913
582	4063	2906
583	4070	2899
584	4076	2891
585	4084	2885
586	4090	2878
587	4096	2870
588	4103	2863
589	4110	2856
590	4117	2849
591	4124	2842
592	4130	2835
593	4137	2827
594	4143	2820
595	4150	2813
596	4156	2805
597	4164	2799
598	4171	2792
599	4178	2785
600	4185	2778
601	4191	2771
602	4198	2763
603	4204	2756
604	4211	2749
605	4218	2742
606	4224	2735
607	4232	2728
608	4238	2721
609	4246	2714
610	4252	2707
611	4260	2701
612	4267	2694
613	4274	2687
614	4281	2680
615	4288	2673
616	4295	2666
617	4301	2658
618	4308	2652
619	4315	2644
620	4322	2637
621	4328	2630
622	4336	2623
623	4342	2616
624	4349	2609
625	4356	2602
626	4362	2595
627	4369	2588
628	4376	2581
629	4383	2574
630	4390	2567
631	4397	2560
632	4403	2553
633	4411	2546
634	4417	2539
635	4425	2532
636	4432	2526
637	4439	2519
638	4446	2512
639	4453	2505
640	4459	2497
641	4466	2490
642	4474	2484
643	4480	2476
644	4487	2469
645	4494	2462
646	4500	2455
647	4507	2448
648	4513	2441
649	4521	2434
650	4527	2427
651	4533	2419
652	4540	2412
653	4546	2405
654	4553	2398
655	4560	2391
656	4567	2384
657	4574	2377
658	4581	2370
659	4588	2363
660	4594	2356
661	4601	2349
662	4607	2342
663	4613	2334
664	4620	2327
665	4627	2320
666	4634	2313
667	4642	2307
668	4649	2300
669	4656	2293
670	4663	2286
671	4670	2279
672	4677	2272
673	4684	2266
674	4691	2258
675	4698	2251
676	4704	2244
677	4711	2237
678	4718	2230
679	4725	2223
680	4731	2216
681	4738	2209
682	4745	2202
683	4752	2195
684	4759	2188
685	4767	2182
686	4773	2174
687	4780	2167
688	4787	2160
689	4793	2153
690	4800	2146
691	4806	2139
692	4813	2132
693	4819	2125
694	4826	2118
695	4833	2111
696	4840	2104
697	4847	2097
698	4854	2090
699	4861	2083
700	4868	2076
701	4874	2069
702	4880	2061
703	4887	2054
704	4893	2047
705	4899	2040
706	4908	2034
707	4914	2026
708	4920	2019
709	4927	2012
710	4934	2005
711	4940	1998
712	4946	1991
713	4953	1984
714	4959	1976
715	4965	1969
716	4972	1962
717	4979	1955
718	4985	1948
719	4992	1941
720	4998	1934
721	5005	1927
722	5013	1920
723	5020	1913
724	5026	1906
725	5032	1899
726	5039	1892
727	5046	1885
728	5052	1878
729	5059	1871
730	5065	1864
731	5072	1857
732	5079	1850
733	5086	1843
734	5092	1836
735	5098	1828
736	5105	1821
737	5111	1814
738	5118	1807
739	5124	1800
740	5131	1793
741	5137	1786
742	5143	1779
743	5150	1772
744	5157	1765
745	5163	1758
746	5170	1751
747	5177	1744
748	5184	1737
749	5190	1730
750	5197	1723
751	5204	1716
752	5210	1709
753	5217	1702
754	5223	1695
755	5230	1688
756	5237	1681
757	5243	1674
758	5250	1667
759	5256	1660
760	5262	1652
761	5269	1645
762	5275	1638
763	5281	1631
764	5288	1624
765	5295	1617
766	5302	1610
767	5308	1603
768	5315	1596
769	5321	1589
770	5328	1582
771	5334	1575
772	5340	1568
773	5347	1561
774	5353	1554
775	5359	1547
776	5366	1540
777	5372	1533
778	5379	1526
779	5386	1519
780	5392	1512
781	5399	1505
782	5406	1498
783	5414	1491
784	5420	1484
785	5427	1477
786	5433	1470
787	5439	1463
788	5446	1456
789	5452	1449
790	5459	1442
791	5466	1435
792	5472	1428
793	5478	1421
794	5485	1414
795	5492	1407
796	5499	1400
797	5505	1393
798	5512	1386
799	5518	1379
800	5525	1372
801	5532	1365
802	5539	1359
803	5546	1352
804	5552	1345
805	5559	1338
806	5565	1330
807	5572	1324
808	5578	1317
809	5584	1310
810	5591	1303
811	5598	1296
812	5605	1289
813	5612	1282
814	5619	1275
815	5626	1268
816	5632	1261
817	5640	1254
818	5646	1247
819	5653	1241
820	5659	1233
821	5666	1227
822	5673	1220
823	5680	1213
824	5687	1206
825	5694	1199
826	5700	1192
827	5708	1185
828	5714	1178
829	5721	1171
830	5728	1164
831	5735	1158
832	5742	1151
833	5748	1144
834	5754	1137
835	5761	1130
836	5767	1123
837	5773	1116
838	5779	1109
839	5786	1102
840	5792	1095
841	5799	1088
842	5806	1081
843	5812	1074
844	5819	1067
845	5825	1060
846	5832	1053
847	5839	1046
848	5845	1039
849	5852	1032
850	5858	1025
851	5864	1018
852	5871	1011
853	5878	1004
854	5884	998
855	5892	991
856	5898	984
857	5906	977
858	5913	970
859	5919	963
860	5926	956
861	5933	949
862	5940	943
863	5947	936
864	5954	929
865	5962	922
866	5968	915
867	5976	908
868	5982	901
869	5990	895
870	5997	888
871	6004	881
872	6011	874
873	6018	867
874	6025	860
875	6032	853
876	6038	846
877	6045	839
878	6051	833
879	6059	826
880	6065	819
881	6072	812
882	6079	805
883	6086	798
884	6093	791
885	6099	784
886	6106	777
887	6113	771
888	6121	764
889	6128	757
890	6134	750
891	6141	743
892	6148	736
893	6156	729
894	6162	722
895	6169	716
896	6176	709
897	6183	702
898	6190	695
899	6197	688
900	6204	681
901	6211	674
902	6218	668
903	6225	661
904	6232	654
905	6239	647
906	6246	640
907	6252	633
908	6258	626
909	6265	619
910	6271	612
911	6278	605
912	6286	599
913	6293	592
914	6299	585
915	6306	578
916	6313	571
917	6320	564
918	6327	557
919	6335	550
920	6341	543
921	6349	537
922	6355	530
923	6362	523
924	6369	516
925	6377	509
926	6384	502
927	6391	495
928	6398	489
929	6404	482
930	6412	475
931	6418	468
932	6426	461
933	6433	454
934	6440	447
935	6446	440
936	6453	433
937	6460	427
938	6468	420
939	6474	413
940	6481	406
941	6488	399
942	6495	392
943	6503	385
944	6509	378
945	6517	372
946	6524	365
947	6531	358
948	6538	351
949	6545	344
950	6552	337
951	6560	330
952	6566	323
953	6573	316
954	6580	310
955	6588	303
956	6595	296
957	6602	289
958	6610	282
959	6617	275
960	6624	268
961	6631	261
962	6638	255
963	6645	248
964	6651	241
965	6658	234
966	6664	227
967	6671	220
968	6678	213
969	6685	206
970	6691	199
971	6699	192
972	6706	186
973	6713	179
974	6721	172
975	6727	165
976	6734	158
977	6741	151
978	6748	144
979	6755	137
980	6761	130
981	6768	124
982	6775	117
983	6782	110
984	6788	103
985	6794	96
986	6801	89
987	6807	82
988	6813	75
989	6821	68
990	6828	62
991	6835	55
992	6842	48
993	6849	41
994	6856	34
995	6863	27
996	6869	20
997	6876	13
998	6883	6
999	6890	0
