,ID Place,Place,Population,Median Age,Property Value,Household Income,Average Commute Time,Household Ownership,Health Insurance Policies,Percent Business & Tech Jobs
0,16000US0644000,"Los Angeles, CA",3979537,35.9,697200,1398900,30.845503920960326,0.3515233053493409,0.992375997509258,0.3763585355335526
1,16000US0666000,"San Diego, CA",1423852,35.4,658400,512530,23.401973293412855,0.3599601643991089,0.9721705626708393,0.46964783656650166
2,16000US0667000,"San Francisco, CA",881549,38.2,1217500,365851,32.121688826703064,0.4150092621056799,0.9956678528363143,0.5631367011499298
3,16000US1714000,"Chicago, IL",2693959,35.2,275200,1080345,33.089958528841976,0.40102503415976265,0.9903639958885788,0.4092160242157601
4,16000US2507000,"Boston, MA",694295,32.6,627000,271553,29.964306203387295,0.3911204891292606,0.9922108037649702,0.49397146875998843
5,16000US3651000,"New York, NY",8336817,37.2,680800,3211033,39.784857339040386,0.38516294648185273,0.9918886308767483,0.410750499272271
6,16000US4260000,"Philadelphia, PA",1584064,34.7,183200,619505,32.52477279884825,0.391085839966062,0.9913671417316472,0.3816729892328008
7,16000US4835000,"Houston, TX",2316797,33.4,195800,876504,27.220984311411616,0.3783257661331571,0.9928500425371752,0.35123142011864555
8,16000US0103076,"Auburn, AL",66254,25.2,304000,26156,,0.39478371117215566,,0.5338738235020035
9,16000US0107000,"Birmingham, AL",210080,36.7,98800,93300,22.34237320799563,0.44411652703731913,0.9858387281035796,0.338560983363357
10,16000US0121184,"Dothan, AL",68522,41.0,162200,27103,,0.3955371997314731,0.9823414377864044,0.34178477742646546
11,16000US0135896,"Hoover, AL",85772,36.9,322000,32461,,0.37845683906169847,,0.5241877303671446
12,16000US0137000,"Huntsville, AL",201594,35.8,185200,88930,,0.4411341607389109,0.9764129884818,0.45279510856002
13,16000US0150000,"Mobile, AL",188710,37.5,129700,77628,20.35797702464369,0.41136134810025965,0.9832494303428542,0.360354216322483
14,16000US0151000,"Montgomery, AL",198525,35.6,125000,78225,18.922927196115946,0.3940309784661881,0.9733131847374387,0.35699294678739324
15,16000US0177256,"Tuscaloosa, AL",101133,31.0,200200,36779,,0.3636696231694897,,0.3629601442681535
16,16000US0203000,"Anchorage, AK",288000,34.2,314600,105198,18.208918643066262,0.3652708333333333,0.9616666666666667,0.4028703703703704
17,16000US0404720,"Avondale, AZ",87917,29.5,244200,25339,,0.2882150209857024,,0.2807397479393623
18,16000US0407940,"Buckeye, AZ",79624,34.8,248700,21691,,0.2724178639606149,,0.3103060159206577
19,16000US0410670,"Casas Adobes, AZ",70840,40.8,239700,29337,,0.4141304347826087,0.9873376623376623,0.40938778380301205
20,16000US0412000,"Chandler, AZ",261149,37.8,342200,94035,24.28345561261922,0.3600817923867218,0.9990235459450352,0.47483467450242306
21,16000US0423620,"Flagstaff, AZ",75044,25.8,395300,25609,13.496351701231792,0.3412531314961889,,0.39738126449916494
22,16000US0427400,"Gilbert, AZ",254115,34.8,372500,81235,26.07564460398662,0.3196780984987112,0.999622218286996,0.47899481766293317
23,16000US0427820,"Glendale, AZ",252384,35.7,241100,81065,29.86977874364722,0.321197064790161,0.9920517940915431,0.30821846594527436
24,16000US0428380,"Goodyear, AZ",86843,37.8,330500,26158,,0.3012102299552065,,0.3910062462387682
25,16000US0446000,"Mesa, AZ",517981,35.9,259300,187111,24.853123011728552,0.36123139651840513,0.9959554501033822,0.3423091873456132
26,16000US0454050,"Peoria, AZ",175960,42.5,307800,66318,27.539088560303732,0.3768924755626279,0.9941634462377813,0.3994811580349901
27,16000US0455000,"Phoenix, AZ",1680988,34.4,266600,586878,25.37731110469096,0.3491268230350246,0.9935734222968873,0.338927281539298
28,16000US0464210,"San Tan Valley, AZ",100732,34.0,237900,30387,,0.30166183536512725,,0.31934174518338937
